GENEID,x60A3,x60A4,x60A5,x60A6,x60A7,x60A8,x60A9,x60A10,x60A11,x60B3,x60B4,x60B5,x60B6,x60B7,x60B8,x60B9,x60B10,x60B11,x60C3,x60C4,x60C5,x60C6,x60C7,x60C8,x60C9,x60C10,x60C11,x60D3,x60D4,x60D5,x60D6,x60D7,x60D8,x60D9,x60D10,x60D11,x60E3,x60E4,x60E5,x60E6,x60E7,x60E8,x60E9,x60E10,x60E11,x64A3,x64A4,x64A5,x64A6,x64A7,x64A8,x64A9,x64A10,x64A11,x64B3,x64B4,x64B5,x64B6,x64B7,x64B8,x64B9,x64B10,x64B11,x64C3,x64C4,x64C5,x64C6,x64C7,x64C8,x64C9,x64C10,x64C11,x64D3,x64D4,x64D5,x64D6,x64D7,x64D8,x64D9,x64D10,x64D11,x64E3,x64E4,x64E5,x64E6,x64E7,x64E8,x64E9,x64E10,x64E11,x68A3,x68A4,x68A5,x68A6,x68A7,x68A8,x68A9,x68A10,x68A11,x68B3,x68B4,x68B5,x68B6,x68B7,x68B8,x68B9,x68B10,x68B11,x68C3,x68C4,x68C5,x68C6,x68C7,x68C8,x68C9,x68C10,x68C11,x68D3,x68D4,x68D5,x68D6,x68D7,x68D8,x68D9,x68D10,x68D11,x68E3,x68E4,x68E5,x68E6,x68E7,x68E8,x68E9,x68E10,x68E11,x72A3,x72A4,x72A5,x72A6,x72A7,x72A8,x72A9,x72A10,x72A11,x72B3,x72B4,x72B5,x72B6,x72B7,x72B8,x72B9,x72B10,x72B11,x72C3,x72C4,x72C5,x72C6,x72C7,x72C8,x72C9,x72C10,x72C11,x72D3,x72D4,x72D5,x72D6,x72D7,x72D8,x72D9,x72D10,x72D11,x72E3,x72E4,x72E5,x72E6,x72E7,x72E8,x72E9,x72E10,x72E11
A2M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.39385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0512983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0620493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.107621,NaN,-1.02627,NaN,NaN,NaN,NaN,NaN,NaN,0.0315583,NaN,NaN,NaN,0.301067,NaN,NaN,NaN,NaN,-0.273265,-0.0740207,NaN,1.31778,1.88183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.02113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.18154,NaN,0.272713,NaN,-1.10018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.866519,0.0485196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.45291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.01109,0,NaN,-0.143189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AADAC,0.187096,NaN,NaN,NaN,NaN,NaN,NaN,-0.392958,NaN,0.600585,NaN,-1.23794,NaN,NaN,NaN,NaN,NaN,-0.357485,0.0211293,-0.593039,-0.756053,NaN,NaN,NaN,NaN,NaN,NaN,-0.446739,-0.191381,NaN,NaN,NaN,NaN,NaN,NaN,0.0672941,-0.186908,NaN,0.188568,0.35926,-1.103,-1.70686,NaN,-0.760024,NaN,-0.13123,NaN,NaN,NaN,NaN,-1.1876,NaN,-1.25929,NaN,-0.0539728,NaN,-0.913107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.203407,0.00104764,0.562329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.582214,0.102912,-0.525713,NaN,NaN,1.11591,NaN,NaN,1.50107,NaN,NaN,NaN,NaN,NaN,0.0942874,NaN,NaN,NaN,-0.0480699,NaN,NaN,NaN,NaN,NaN,NaN,-0.628906,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.176556,NaN,NaN,NaN,NaN,0.677074,1.70235,0.819239,0.708804,0.772639,NaN,NaN,NaN,-0.261669,NaN,NaN,-0.430513,NaN,NaN,NaN,1.86522,NaN,NaN,NaN,NaN,NaN,NaN,2.01962,NaN,NaN,NaN,NaN,2.44407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.136005,2.38425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.08798,2.26913,NaN,NaN,NaN
AARS1,0.869416,2.02103,1.17126,-0.0860429,-1.52556,-0.373241,-0.360637,0,1.1829,1.29284,0.088202,-0.132114,-0.741299,-0.542124,0.350406,0.423787,1.15312,-0.58941,1.17621,1.54775,0.555929,-0.964939,-0.713366,-0.141379,-0.0325869,0.0471788,-1.13666,1.62208,0.611316,0.622319,-0.905148,-0.882878,-0.488625,1.72627,-0.022013,-0.429964,1.86264,NaN,1.67465,1.31672,1.01248,0.44417,-0.363268,1.35484,-1.16797,1.67238,0.432874,0.406407,1.13533,-0.464725,0.38977,-1.00332,0.807752,-0.882113,2.10832,0.33121,1.52664,-0.967927,1.57297,0.247283,-0.948595,-1.15256,0.460213,2.66119,1.46631,0.591469,-0.93692,0.140536,-0.550038,-0.121096,-0.343964,1.46524,1.02278,1.89377,0.446822,0.0070636,0.513927,-0.08126,0.32499,0.121468,-0.911139,0.0846917,1.46881,0.786812,1.05518,0.995402,0.0784645,0.0325083,0.88849,-2.33681,1.20002,NaN,1.14566,1.16233,-0.0501458,-0.416838,-0.768352,0.061449,-1.28408,0.937764,2.07423,1.47892,0.487567,1.31215,-0.432438,-0.531364,0.664757,-1.30847,0.123098,-0.202542,-0.423701,-0.00722803,-1.55797,-0.616713,-0.850598,-1.18335,-0.861995,-0.52804,-0.450061,-0.689344,-1.80465,-1.82367,-0.382993,0.734557,-0.217892,-1.13633,-0.0453271,-1.50533,-0.492779,0.405928,-0.477408,-0.496332,0.162456,-0.924566,-1.93821,-0.321544,0.658816,1.41875,0.0227708,0.382163,-0.738725,1.30563,-0.893023,NaN,1.95775,1.79859,0.24596,0.155385,0.128031,-1.24494,-1.70754,-1.5216,-1.63416,0.0931351,0.832432,-0.560498,-0.225077,-1.27694,-0.722846,-0.0226779,-1.21447,-1.30953,-0.148536,1.91291,-0.0531343,-1.10114,-0.831889,-0.615176,-0.137154,0.511553,-1.80712,0.350048,-0.174981,0.436063,-0.0816317,-1.30496,0.00529055,0.520468,0.509122,-0.745281
ABAT,0.310657,0.768286,0.615179,-0.904178,-1.13389,-1.55956,0,0.17742,0.415514,0.20852,0.643316,-0.35086,-1.6767,-2.10007,-2.17452,-1.56005,-0.844454,0.364569,0.170237,0.623458,-0.156122,-1.83614,-2.05238,-1.85837,-1.89693,-1.74576,0.261568,0.142718,0.796364,0.226069,-1.49427,-2.02126,-2.07073,-1.96737,-1.63388,-0.0644852,0.361938,NaN,0.861924,0.60248,-0.702272,-1.68576,-1.59926,-0.420286,-0.184379,0.347854,0.510093,0.453803,-0.556866,-0.716019,-0.411984,-0.286308,0.214356,-0.150322,0.324124,0.948549,-0.138266,-1.88586,-1.89346,-2.06411,-1.25118,-0.420378,0.00941747,0.158625,0.898667,0.0945534,-1.998,-2.14672,-2.21659,-2.02763,-1.38671,-0.213916,0.839686,0.286946,0.0243951,-1.48699,-1.89415,-1.93543,-1.86537,-1.26661,-0.113729,0.399431,0.611891,0.426282,-0.0821465,-0.828328,-1.20031,-0.106405,-0.665051,-0.667354,0.419131,NaN,0.611378,0.503964,-0.258635,-0.354406,-0.282265,-0.0495734,0.014733,0.6907,0.548871,0.416029,-0.530779,-1.32464,-1.60826,-1.42749,-0.335717,0.281259,1.42791,0.626838,0.593214,-1.41652,-2.1139,-1.93149,-1.72358,-1.18776,0.045114,0.651127,0.687475,0.405429,0.0953484,-1.16644,-1.53986,-1.23811,-0.179964,0.266737,0.357763,-0.132299,0.980459,1.00935,0.431825,-0.256118,0.235427,0.72554,-0.407489,0.851427,0.959011,0.667979,0.64739,0.290488,-0.034537,0.150421,0.0180541,NaN,0.96915,0.412964,0.812769,0.729767,-0.156616,-1.23561,-0.717673,-0.231438,0.235573,0.903581,0.718933,0.501271,0.328504,-0.393389,-1.30326,-1.27867,-0.862783,0.0309431,0.57802,1.09898,0.693856,0.717134,-0.0309831,-0.34017,0.327048,0.0160219,0.38609,0.703982,0.787972,0.580035,0.731505,0.705993,0.828003,0.626478,0.400572,-0.0740885
ABCC3,NaN,NaN,-1.54175,1.07522,0.185633,0.0229542,0.510477,NaN,NaN,NaN,NaN,-0.374342,0.903034,0,5.62E-02,0.103278,0.769685,NaN,NaN,NaN,-1.29863,-0.0643376,0.194076,-0.0546812,0.144592,NaN,0.252721,NaN,NaN,-0.417513,-0.592648,-0.123222,0.0577164,1.29763,0.388534,-2.46529,NaN,NaN,NaN,-1.68836,0.185321,0.100077,0.917582,-3.21E-01,NaN,-1.6801,NaN,NaN,-1.17842,0.991039,-0.611431,NaN,-1.12434,NaN,NaN,-1.96109,-1.79047,-0.328666,0.0408533,-0.57556,-0.231448,0.280952,NaN,-1.18265,NaN,-0.720952,0.917059,0.600451,-0.319848,0.524991,0.231021,-0.278129,NaN,NaN,-2.06406,1.17589,0.142773,0.515938,0.883007,9.11E-01,NaN,-1.10496,NaN,NaN,-0.951818,-0.387446,-0.451572,-0.20077,NaN,NaN,-1.83243,NaN,NaN,NaN,-0.880949,-0.0850154,-1.00063,NaN,NaN,NaN,NaN,-1.79583,0.198958,1.33153,0.836482,0.30407,0.538164,NaN,NaN,-1.64918,-2.62975,0.937973,-0.363993,0.402435,0.459725,0.586813,-0.923039,NaN,NaN,-0.908699,NaN,0.333863,0.310258,0.612865,0.244267,-1.03622,-0.430905,-0.436996,-1.04686,NaN,-1.01384,-1.0908,-2.4423,-0.961939,NaN,NaN,NaN,-1.00405,NaN,-1.53212,0.167987,-1.90624,NaN,NaN,NaN,NaN,NaN,NaN,0.144017,0.981036,1.33075,0.958256,0.15253,NaN,-1.44322,-1.0557,NaN,0.652817,0.427579,1.28472,0.886275,1.01995,NaN,-2.43751,NaN,-2.89527,0.57364,0.637746,-0.211484,0.36023,0.344476,NaN,NaN,0.242732,0.164868,-0.378084,NaN,-0.206006,-0.360168,NaN
ABCD3,NaN,-0.205225,-0.919574,0.778352,0.73894,0.479862,0.0924821,-2.51811,NaN,-0.775312,0.544324,0.0383403,1.51455,0.713353,0.922984,1.17704,0.606839,-1.02018,-1.87189,-0.777657,0.0735325,0.685788,0.847974,0.845057,0.666754,0.648336,-0.469577,0.304062,-0.544295,-0.361769,1.00858,0.549096,1.08095,0.375004,-0.650754,NaN,-1.39293,NaN,-0.921834,-1.82502,0.901833,0.957233,0.91684,0.578757,NaN,-2.75517,-0.550763,-2.89792,-1.32569,0.67979,0.224353,0.132522,0.00477173,NaN,NaN,-1.04302,-0.145292,0.476629,0.757665,0.811599,0.493649,0.380988,NaN,-1.68652,-3.88955,0.3982,1.18905,1.1993,1.08193,0.511162,0.606304,1.14522,-0.649466,-2.66178,-0.281456,1.07376,0.885684,1.01442,0.881289,1.01846,0.538989,-0.469974,-0.193401,-0.816237,0.120342,0.653554,0.386232,0.227863,-0.186308,0.664292,NaN,NaN,0.303154,-0.167469,0.249894,-0.405068,0.836994,NaN,0.424216,-0.707775,NaN,-0.308737,0.530634,0.874511,0.401491,0.68021,0.755589,-1.18016,-0.817603,-0.130621,-0.410786,0.377892,0.758982,0.476343,0.864824,0.333843,-0.380494,-0.226569,-0.10496,-1.76339,NaN,-0.904569,0.597941,0.532188,-0.166488,-0.574146,0.492799,0.15681,-0.305726,-1.28864,-0.45282,0.042268,-1.18308,-1.06629,-0.996277,-0.40553,-1.59136,-0.688355,-0.455855,-0.493605,-1.36595,-0.646867,-0.852863,NaN,-1.90308,-0.123767,-0.341149,-0.57332,0.705739,0.676102,0.667239,0.14743,-0.00477173,-0.774232,-0.0289808,0.178125,-1.09294,-0.0868197,0.305732,0.577008,0.276211,0.173055,-2.12075,-0.518094,-2.05839,-1.74611,-2.12445,1.08716,-1.9535,-0.724955,-1.09692,-0.847475,-0.500783,-0.222902,-0.421918,-2.30115,-1.45724,0.0213355,-1.88928,-0.105956
ABCE1,0.979693,0.549423,0.693581,-2.59324,-1.56448,-0.956612,-0.508431,0.368028,0.575901,0.906629,0.873219,0.14335,-1.36381,-1.71915,-1.90022,-2.68677,-0.851398,0.209571,0.963588,0.852712,-0.506612,-1.07349,-1.19817,-1.85053,-1.75045,-1.26254,0.0502457,0.66119,0.649738,-0.232955,-1.45084,-1.95,-1.80949,-1.24256,-1.10932,0.0738068,0.877884,NaN,1.08096,0.641106,-0.240891,-1.16864,-0.835847,-0.710718,-0.00146447,1.41567,0.20167,1.168,-0.173369,-1.14104,0,-0.0287754,0.672266,-0.0868229,0.951311,0.627429,0.142274,-1.79196,-1.88881,-1.53138,-1.26248,-0.32253,0.021034,0.439856,0.782706,-0.215338,-1.52551,-1.87346,-2.0302,-1.58516,-1.49746,-0.272543,0.656481,0.268608,-0.397883,-1.16039,-1.62269,-1.73374,-1.57309,-1.03285,0.36093,0.245949,0.616621,0.348061,-0.106431,-1.00529,-0.692328,-0.24947,0.129586,-0.683459,0.594394,NaN,0.49151,0.84764,0.0202607,0.176393,0.0146966,-0.00181439,0.22962,0.171196,1.33046,0.37646,-0.508137,-1.13167,-1.41129,-1.5403,-0.460449,-0.760485,0.711518,0.496793,0.42649,-1.01217,-1.60308,-1.99176,-2.84274,-1.28159,0.472126,0.870376,0.55075,0.0438175,-3.33037,-1.30393,-1.68188,-1.11941,-0.311004,0.270966,0.134204,-0.123897,0.213817,1.00963,0.302001,0.487635,0.621684,0.6725,-0.854829,0.62533,0.845191,0.683386,0.574484,-0.0163425,-0.216306,0.122744,0.523668,NaN,0.798695,0.602684,0.842841,0.506617,-0.368472,-0.789217,-1.31624,-0.680803,-0.190407,0.533098,0.279831,-0.227538,0.0878727,-0.640912,-1.58642,-1.16413,-0.822904,0.182916,0.453853,0.616469,0.334345,0.0922402,-0.406294,-0.329493,0.226375,0.208378,1.64375,0.721968,0.785173,-0.172981,0.119862,0.360571,0.518678,0.604905,0.270055,-0.296268
ABHD16A,NaN,NaN,-1.44391,0.91882,1.26671,1.18822,-0.976342,NaN,NaN,NaN,NaN,0.56713,1.42698,1.02131,1.05444,1.16544,1.097,NaN,NaN,-1.65902,0.751228,1.23064,1.13322,1.07104,1.05399,0.779028,0.170034,NaN,-1.39881,-0.100399,0.370762,0.591244,-0.281019,1.3241,-0.359852,-1.41276,NaN,NaN,-1.43441,-0.624161,0.911341,0.889493,1.15884,0.168307,NaN,NaN,NaN,NaN,0.376604,1.09549,-0.00460336,NaN,-1.45818,NaN,NaN,NaN,-0.309746,1.16184,1.01577,1.17177,-0.426876,-0.979607,NaN,NaN,-1.07405,0.732398,1.22802,1.19419,0.727497,1.08742,1.14221,-0.603618,NaN,NaN,-0.979547,1.19891,1.04097,1.12115,1.27725,0.707453,NaN,NaN,-0.873244,NaN,0.515122,1.05588,-0.274636,-1.14827,-0.311169,NaN,NaN,NaN,-0.598393,-0.298796,0.0865284,-0.696809,-1.1942,NaN,NaN,-1.16718,NaN,-0.413967,0.663988,1.41817,1.31938,0.923451,0.425409,NaN,NaN,-0.776325,-1.22506,1.49504,1.12012,1.21611,1.40143,1.32096,-0.0783298,-0.462711,-1.47678,NaN,-1.39863,1.04096,0.801104,0.95758,-0.424998,-0.572117,-0.900729,-0.1423,NaN,-0.953878,-0.0425284,0,-0.93355,-1.22779,NaN,NaN,-1.41524,-1.07943,-1.23395,-1.10773,-0.260911,-0.445997,-1.15699,NaN,NaN,NaN,NaN,-1.0824,1.05555,1.29375,1.11367,0.180745,NaN,-0.940978,-1.01112,-0.943342,-0.605472,0.564992,1.17114,1.49112,0.620537,NaN,NaN,NaN,-1.55943,NaN,NaN,-0.82975,-0.655662,-1.00506,NaN,-1.68149,-1.29782,NaN,NaN,-0.939254,-1.08242,-1.14651,NaN,NaN
ABLIM1,NaN,NaN,NaN,-0.22102,1.01893,1.06591,0.528246,NaN,-2.18252,-2.34126,-0.565193,-0.143689,0,-0.168267,1.293,1.354,-1.28467,-0.870071,NaN,NaN,0.829603,0.0443386,0.729592,1.2574,1.19544,0.359397,-0.29699,NaN,NaN,NaN,-0.391935,0.652087,1.07015,0.7332,-0.641529,-0.802031,NaN,NaN,NaN,0.0673649,NaN,-0.230539,NaN,-0.88597,NaN,-0.238029,NaN,NaN,0.487896,-0.539035,0.0382455,NaN,0.164576,-0.339907,NaN,NaN,0.109277,1.48217,-0.228442,0.979955,0.507293,NaN,NaN,NaN,NaN,-0.305119,0.567747,1.06575,0.0290801,1.06914,1.19686,0.149892,-2.84172,NaN,NaN,1.25307,1.11871,-0.128669,-0.0567555,-0.0748849,NaN,NaN,NaN,NaN,-1.5899,0.787494,-0.829124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.24302,-1.5501,NaN,NaN,NaN,NaN,NaN,-2.54138,NaN,1.17716,1.42223,0.474094,-0.652202,NaN,NaN,NaN,NaN,0.026973,0.19109,1.26448,0.167784,0.0690521,NaN,NaN,NaN,NaN,-0.767106,-0.331498,-0.278809,-0.161983,-0.819553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.29859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.65271,-0.452509,-0.885224,NaN,NaN,NaN,NaN,NaN,NaN,-2.54173,0.617687,0.0872699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.29179,-1.42118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ABRAXAS2,NaN,0.202891,NaN,0.929906,-0.0649778,NaN,NaN,NaN,-1.27031,NaN,1.17079,NaN,NaN,-0.37595,NaN,NaN,0.503388,NaN,NaN,0.247285,-1.18829,NaN,NaN,-0.641175,NaN,NaN,NaN,NaN,NaN,NaN,-0.862341,NaN,NaN,0.559541,1.02358,NaN,NaN,NaN,NaN,NaN,NaN,1.54763,1.04546,NaN,NaN,NaN,-0.429567,0.569201,-1.3003,-1.02757,NaN,NaN,1.323,2.50075,0.325977,NaN,-1.72181,NaN,NaN,-0.161205,NaN,NaN,NaN,0.719025,NaN,-0.537047,NaN,NaN,NaN,0.354348,0.510795,0.516147,0.123642,0.0649778,NaN,NaN,NaN,0.800437,NaN,3.583,NaN,NaN,NaN,NaN,-0.481387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.299029,-0.226258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.488807,-1.18645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0789829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.709568,-1.16097,0.504501,NaN,NaN,NaN,NaN,NaN,-0.354879,NaN,NaN,NaN,NaN,NaN,NaN,0.3937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.99644,NaN,NaN,NaN,NaN,-0.64843,NaN,NaN,NaN,NaN,-0.11564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.287453,NaN
ACAA2,-2.23576,-1.46754,-0.237592,0.52271,0.954513,0.86042,-0.233345,-1.10106,0.207844,-1.26659,-1.1697,-0.788878,1.03936,0.504774,0.820729,0.540818,1.82367,-0.0190177,-3.32487,-1.60729,-0.486044,1.11372,-0.729974,0.577472,0.40374,0.776216,-0.442582,-3.06E-05,-0.0237965,1.21823,0.561644,-0.925473,0.114674,-0.796101,-0.153107,-0.308114,0.173787,NaN,-0.459699,-0.794451,0.837522,1.02701,0.881113,0.867943,-0.330749,-1.5253,-1.25892,-1.83574,0.497912,-0.203413,-0.451064,-0.431937,-0.563337,-2.36982,-1.83798,-0.947228,-0.215269,0.514326,0.183577,0,-0.145584,0.410811,-0.449659,-0.655412,-1.86793,0.0374425,0.588307,-0.212109,0.0799817,0.175357,0.113593,-0.172974,-1.34255,-0.967046,-0.451651,0.980802,0.722457,0.772494,0.746932,1.74918,-1.51124,-0.237867,0.222449,-0.0117394,1.12972,1.71117,1.77272,-0.600016,1.12051,0.653775,-0.157067,NaN,-0.743424,-0.327144,-1.50882,-0.288424,-0.782999,-1.38136,-1.10723,0.00296387,-1.63434,0.358598,1.00443,0.61896,0.662458,0.916117,0.380909,-1.60683,-1.88165,-0.244382,-0.869184,1.93354,0.156205,-0.343723,1.4318,1.27907,0.566221,-1.36106,-0.163893,-0.0686945,1.12174,0.640721,0.982587,0.631213,1.32687,0.687037,0.061789,0.521989,0.0509174,-1.58631,-0.701313,0.134981,0.327254,-0.130312,1.38558,-1.39835,-1.08316,-1.39501,-0.474476,-0.018541,1.41831,-0.0124544,-1.20469,NaN,-1.19459,-0.326148,-0.421921,0.465841,0.965598,1.24011,0.917076,1.73258,1.60268,-0.286414,-1.02532,0.262281,0.440993,2.06487,0.744927,0.93346,1.55114,-0.55887,-0.820589,-0.115579,-0.0355053,-0.595096,2.59221,2.04842,1.06896,0.427842,-0.100332,-0.167511,-0.253719,0.262513,1.67503,0.753391,0.789709,-0.0206432,0.344322,1.14271
ACACA,NaN,NaN,NaN,1.0667,0.549572,0.0620348,-0.139527,NaN,NaN,NaN,NaN,-1.38848,0.356989,0.158742,0.0243237,0.0184744,0.467693,NaN,NaN,NaN,-7.46E-01,-0.0149607,0.289493,-0.0780373,-0.0229392,1.00191,-1.42574,NaN,NaN,NaN,-7.93E-01,NaN,-0.272582,1.38164,NaN,NaN,NaN,NaN,NaN,NaN,-0.480657,-0.250247,0.244706,NaN,NaN,NaN,NaN,NaN,-0.586913,-0.0355119,-2.17089,-3.36995,NaN,NaN,NaN,NaN,-1.54E+00,3.39E-02,-0.11107,-0.164298,-0.792764,-2.18571,NaN,NaN,NaN,-0.848369,0.147313,0.51405,NaN,0.757057,0.474486,NaN,NaN,NaN,NaN,0.0149607,-0.168941,0.264918,0.154445,NaN,NaN,NaN,NaN,NaN,NaN,-0.185097,-0.952528,NaN,NaN,NaN,-3.03496,NaN,NaN,NaN,-0.971537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.337263,0.799411,1.0688,NaN,-0.695378,NaN,NaN,NaN,NaN,7.72E-01,-0.22169,0.503656,0.399833,0.553432,NaN,NaN,NaN,NaN,NaN,0.470668,0.388876,0.476052,-0.685515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.01E+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.63E-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.34E-01,0.910376,-0.767934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACADM,0.367247,0.846899,0.981284,1.3793,0.00421352,-0.750519,0.22245,1.11964,0.4112,-0.560277,1.41092,0.385556,-1.44071,-0.136949,-2.27151,-0.426106,0.043953,0.794202,0.35085,1.20025,-0.469901,-0.319323,-1.09251,-0.304399,-0.355632,0.973108,0.653972,0.515,1.12998,-0.565553,-1.12069,-1.11259,-1.24174,-0.644454,-2.3107,0.212056,-0.250126,NaN,0.0887915,0.340885,0.867528,0.515681,1.29898,0.0135914,0.758881,-0.152349,0.135877,-1.23378,-0.878211,0.28899,0.0019949,0.559289,1.22623,-0.777907,-1.28691,1.19379,0.470842,-0.24912,0.156068,-1.68975,-2.47435,0.591682,-0.868945,0.259206,0,0.936063,0.063818,-0.0404945,-2.09164,-2.00459,-1.80107,-2.47467,1.54008,0.772715,-1.10893,-0.228313,-0.939521,-0.338126,-0.17913,-1.3148,-1.16339,0.698764,0.426665,-1.04235,-0.530111,-0.993831,0.390328,0.503422,-0.485934,-3.8492,0.322437,NaN,1.58913,0.539508,0.724595,0.906335,-0.531929,-1.1951,-2.56236,1.29994,1.05795,-0.132679,1.29325,1.99051,-0.594218,-1.37393,0.873755,-0.994344,0.339114,0.187502,-1.56917,1.52789,-1.92961,-0.384493,-0.570298,0.946886,-0.700796,-0.443566,0.660283,0.0555495,-0.632196,0.857721,-1.08582,0.147883,1.2175,-0.76783,-0.775623,-1.11429,0.641434,1.04633,-0.609851,-0.685657,-0.209753,-0.675981,-0.71806,0.906503,1.45131,-1.26724,-0.0924457,0.132856,0.391727,0.0871136,0.769722,NaN,-0.115881,0.227073,0.0911313,0.507654,-0.575257,-1.49356,-1.82416,0.177425,-0.046414,1.41086,-0.0796467,-0.211328,0.0708561,-1.14681,-1.93649,0.102234,-1.19653,-0.048558,0.687121,0.0402428,-0.0406623,-0.262245,-0.699332,-1.61394,0.256503,-0.607231,1.722,0.722926,1.03439,0.273226,0.21159,-0.741738,0.327508,0.547366,-0.227968,-0.594516
ACADS,-0.0191872,0.281693,0.642954,-0.175593,-0.630312,-0.906541,-0.256173,0.112496,0.0688872,-0.130848,0.925207,-0.635558,-2.83787,-3.33782,-1.36373,-1.02159,-0.402451,0.441266,0.433481,0.296524,-0.584585,-1.30579,-1.23843,-1.16021,-1.33063,-0.852337,-0.0467114,0.450666,0.479538,0.0745264,-2.77774,-3.12729,-3.25115,-1.52909,-1.19816,-0.411741,-0.0604578,NaN,0.210635,0.126125,0.0339671,-0.605476,-0.459268,0.330096,-2.61633,-0.365433,-0.000658239,-0.123888,-2.92533,-0.334038,-0.712735,-0.164515,-0.339677,-0.10084,-0.0787745,0.58914,-0.483876,-1.39516,-1.81266,-1.77697,-1.32337,-0.229777,0.0728877,-0.011697,-0.32977,-0.193583,-1.10834,-1.09528,-3.26861,-0.985301,-1.1198,0.611367,0.52585,0.151287,0.272918,-0.538386,-1.10116,-1.41439,-0.945021,-0.848792,0.0556241,0.536712,0.61242,-0.600677,0.0946391,-0.363177,-0.442814,-1.52898,0.0586186,NaN,0.558468,NaN,0.44215,0.153688,0.203514,0.153299,0.692874,0.498409,0.444154,0.545621,0.0622891,0.130738,-0.0236907,-0.729838,-0.804158,-2.23797,0.291109,0.129724,0.780705,0.395146,0.0559935,-0.741246,-1.89613,-1.4429,-2.51701,-0.765237,0.72827,0.475553,0.470959,0.430942,-2.45604,-0.819622,-0.630689,-1.28152,-0.169266,0.0368319,0.851634,-0.0424869,0.503246,0.536103,0.0971541,-0.215177,0.0595343,0.50002,-1.92061,0.649148,0.376471,0.342479,0.0510617,-0.117848,0.000658239,-0.03974,-0.092234,NaN,0.878588,0.148324,0.349725,0.247182,-0.400086,-0.786002,-0.139207,0.449361,0.540461,0.81858,0.376259,0.22365,0.598481,0.745195,-1.37883,-0.515515,-0.236127,0.741855,0.647045,0.968486,0.698631,0.503525,0.140118,0.554341,0.49475,0.418387,0.61216,0.696725,1.2152,0.758498,0.559403,0.450442,0.741871,0.476205,0.496794,2.0754
